9606.ENSP00000371101	9606.ENSP00000364293
9606.ENSP00000224181	9606.ENSP00000263413
9606.ENSP00000306080	9606.ENSP00000242257
9606.ENSP00000359688	9606.ENSP00000222567
9606.ENSP00000355141	9606.ENSP00000333956
9606.ENSP00000265465	9606.ENSP00000322570
9606.ENSP00000322419	9606.ENSP00000467466
9606.ENSP00000401399	9606.ENSP00000220751
9606.ENSP00000231498	9606.ENSP00000258742
9606.ENSP00000366416	9606.ENSP00000443631
9606.ENSP00000335463	9606.ENSP00000260731
9606.ENSP00000379182	9606.ENSP00000209873
9606.ENSP00000263181	9606.ENSP00000296509
9606.ENSP00000357360	9606.ENSP00000290913
9606.ENSP00000264183	9606.ENSP00000364929
9606.ENSP00000387006	9606.ENSP00000202816
9606.ENSP00000381793	9606.ENSP00000228280
9606.ENSP00000292476	9606.ENSP00000373312
9606.ENSP00000256442	9606.ENSP00000336868
9606.ENSP00000374455	9606.ENSP00000354558
9606.ENSP00000352408	9606.ENSP00000311579
9606.ENSP00000290208	9606.ENSP00000308275
9606.ENSP00000354665	9606.ENSP00000299166
9606.ENSP00000481126	9606.ENSP00000220509
9606.ENSP00000403614	9606.ENSP00000258383
9606.ENSP00000253237	9606.ENSP00000359688
9606.ENSP00000288710	9606.ENSP00000382140
9606.ENSP00000364907	9606.ENSP00000306245
9606.ENSP00000410059	9606.ENSP00000463379
9606.ENSP00000382004	9606.ENSP00000317714
9606.ENSP00000222567	9606.ENSP00000259239
9606.ENSP00000263657	9606.ENSP00000362688
9606.ENSP00000481126	9606.ENSP00000267199
9606.ENSP00000360538	9606.ENSP00000328230
9606.ENSP00000229758	9606.ENSP00000388648
9606.ENSP00000473381	9606.ENSP00000270586
9606.ENSP00000308897	9606.ENSP00000348849
9606.ENSP00000352928	9606.ENSP00000364404
9606.ENSP00000215565	9606.ENSP00000418842
9606.ENSP00000345917	9606.ENSP00000261015
9606.ENSP00000253792	9606.ENSP00000307188
9606.ENSP00000318158	9606.ENSP00000288937
9606.ENSP00000363642	9606.ENSP00000223073
9606.ENSP00000313171	9606.ENSP00000426191
9606.ENSP00000296277	9606.ENSP00000472985
9606.ENSP00000265465	9606.ENSP00000363017
9606.ENSP00000270861	9606.ENSP00000336524
9606.ENSP00000309830	9606.ENSP00000362153
9606.ENSP00000400467	9606.ENSP00000296577
9606.ENSP00000423399	9606.ENSP00000252602
9606.ENSP00000298048	9606.ENSP00000285116
9606.ENSP00000228843	9606.ENSP00000300035
9606.ENSP00000257829	9606.ENSP00000263239
9606.ENSP00000406861	9606.ENSP00000379377
9606.ENSP00000338345	9606.ENSP00000322457
9606.ENSP00000351141	9606.ENSP00000339245
9606.ENSP00000262265	9606.ENSP00000480158
9606.ENSP00000385025	9606.ENSP00000025008
9606.ENSP00000346046	9606.ENSP00000431800
9606.ENSP00000308179	9606.ENSP00000405068
9606.ENSP00000268668	9606.ENSP00000330737
9606.ENSP00000357879	9606.ENSP00000003084
9606.ENSP00000359022	9606.ENSP00000278353
9606.ENSP00000215829	9606.ENSP00000332103
9606.ENSP00000360473	9606.ENSP00000261813
9606.ENSP00000283195	9606.ENSP00000369895
9606.ENSP00000363676	9606.ENSP00000289371
9606.ENSP00000379092	9606.ENSP00000248594
9606.ENSP00000246062	9606.ENSP00000438273
9606.ENSP00000354006	9606.ENSP00000356105
9606.ENSP00000298139	9606.ENSP00000418915
9606.ENSP00000317872	9606.ENSP00000325377
9606.ENSP00000393241	9606.ENSP00000288937
9606.ENSP00000415151	9606.ENSP00000378517
9606.ENSP00000351190	9606.ENSP00000336829
9606.ENSP00000264639	9606.ENSP00000299259
9606.ENSP00000368648	9606.ENSP00000355968
9606.ENSP00000337838	9606.ENSP00000368959
9606.ENSP00000254286	9606.ENSP00000296218
9606.ENSP00000362824	9606.ENSP00000217244
9606.ENSP00000473391	9606.ENSP00000352516
9606.ENSP00000344352	9606.ENSP00000200453
9606.ENSP00000254079	9606.ENSP00000311344
9606.ENSP00000376309	9606.ENSP00000254108
9606.ENSP00000262133	9606.ENSP00000368458
9606.ENSP00000261712	9606.ENSP00000219313
9606.ENSP00000432119	9606.ENSP00000345917
9606.ENSP00000348596	9606.ENSP00000222567
